          60    17
  20  20  21  22  23  25  27  25  24  28  31  30  29  28  26  25  24
  21  21  22  23  26  27  28  26  28  31  30  29  28  26  25  23  19
  22  23  26  27  28  23  27  31  32  29  28  26  25  23  28  30  32
  26  27  28  23  28  29  30  29  28  26  25  23  28  30  32  35  36
  28  23  28  31  30  29  28  26  25  23  28  30  32  35  36  38  40
  28  31  30  29  28  26  25  23  28  30  32  35  36  38  40  42  41
  30  29  28  26  25  23  28  30  32  35  36  38  40  42  41  43  42
  28  26  25  23  28  30  32  35  36  38  40  42  44  43  42  41  43
  25  23  28  30  32  35  36  38  40  42  42  43  42  41  43  47  50
  28  30  32  35  36  38  40  42  41  43  42  41  43  47  50  53  48
  32  35  36  38  40  43  44  43  42  41  41  47  50  52  48  44  43
  36  38  40  42  44  43  42  41  43  47  50  49  48  44  43  45  40
  40  42  44  43  42  43  43  47  50  52  48  44  43  42  40  38  39
  44  43  42  41  43  47  50  52  48  44  43  42  40  38  39  37  35
  42  41  43  47  50  50  48  46  43  42  40  38  39  37  35  33  34
  43  47  50  52  48  44  43  42  40  38  39  37  35  33  34  30  28
  50  52  48  44  43  42  40  38  39  37  35  33  34  30  28  29  31
  48  44  43  42  40  38  39  37  35  33  34  30  28  29  31  33  32
  43  42  40  38  39  37  35  33  34  30  28  29  31  33  32  31  30
  40  38  39  37  35  33  34  30  28  29  31  33  32  31  30  33  30
  37  35  33  34  30  28  29  31  33  32  31  30  33  31  31  35  37
  34  30  28  29  31  33  32  31  30  33  30  31  35  37  36  32  30
  31  33  32  31  30  32  30  31  35  37  36  32  30  29  28  27  25
  31  30  33  30  31  35  37  36  32  30  29  28  27  25  24  26  25
  30  31  35  37  36  32  30  29  28  27  25  24  26  25  23  24  22
  37  36  32  30  29  28  27  25  24  26  25  23  24  22  20  19  21
  32  30  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22
  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22  20  21
  30  31  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22
  32  31  30  29  28  27  25  24  26  25  23  24  22  20  19  21  20
  34  33  32  30  29  28  27  25  24  26  25  23  24  22  20  19  21
  32  30  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22
  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22  20  21
  30  31  29  28  27  25  24  26  25  23  24  22  20  19  21  20  22
  32  31  30  29  28  27  25  24  26  25  23  24  22  20  19  21  20 
  28  27  25  24  26  25  23  24  22  20  19  21  20  21  22  21  19
  24  26  25  23  24  22  20  19  21  20  21  22  21  19  20  22  24 
  23  24  22  20  19  21  20  21  22  21  19  20  22  24  22  23  25 
  20  19  21  20  21  22  21  19  20  22  24  22  23  25  24  26  25
  20  21  22  21  19  20  22  24  22  23  25  24  26  25  23  22  24
  20  20  21  22  23  25  27  25  24  28  31  30  29  28  26  25  24
  21  21  22  23  26  27  28  23  28  31  30  29  28  26  25  23  19
  22  23  26  27  28  23  28  31  32  29  28  26  25  23  28  30  32
  26  27  28  23  28  31  30  29  28  26  25  23  28  30  32  35  36
  28  23  28  31  30  29  28  26  25  23  28  30  32  35  36  38  40
  28  28  30  29  28  26  25  23  28  30  32  35  36  38  40  42  44
  30  29  28  26  25  23  28  30  32  35  36  38  40  42  44  43  42
  28  26  25  23  28  30  32  35  36  38  40  42  44  43  42  41  43
  25  23  28  30  32  35  36  38  40  42  44  43  42  41  43  47  50
  24  26  25  23  24  22  20  19  19  20  21  22  21  19  20  22  24 
  23  24  22  20  19  21  20  21  22  21  19  20  22  24  22  23  25 
  20  19  21  20  21  22  21  19  20  22  24  22  23  25  24  26  25
  20  21  22  21  19  20  22  24  22  23  25  24  26  25  23  22  24
  20  20  21  22  23  25  27  25  24  28  31  30  29  28  26  25  24
  21  21  22  23  26  27  28  23  28  31  30  29  28  26  25  23  19
  22  23  26  27  28  23  28  31  32  29  28  26  25  23  28  30  32
  26  27  28  23  28  31  30  29  28  26  25  23  28  30  32  35  36
  32  35  36  38  40  42  44  43  42  41  43  47  50  52  48  44  43
  36  38  40  42  44  43  42  41  43  47  50  52  48  44  43  42  40
  40  42  44  43  42  41  43  47  50  52  48  44  43  42  40  38  39
   

